date,ticker,price,recommendation,score
2026-03-22 16:12,TCS.NS,2390.6,BUY,81
2026-03-22 16:27,HDFCBANK.NS,780.45,BUY,60
2026-03-22 16:27,RELIANCE.NS,1414.4,BUY,69
2026-03-22 20:27,TCS.NS,2390.6,BUY,81
2026-03-24 17:27,INFY.NS,1278.3,BUY,71
2026-04-24 20:30,TCS.NS,2396.9,BUY,77
2026-04-24 20:45,RELIANCE.NS,1327.8,BUY,62
2026-05-07 21:38,TCS.NS,2401.4,BUY,62
2026-05-07 21:38,RELIANCE.NS,1436.2,BUY,67
2026-05-07 21:38,HDFCBANK.NS,796.05,BUY,71
2026-05-07 21:40,RELIANCE.NS,1436.2,BUY,67
2026-05-07 21:40,ITC.NS,307.4,BUY,81
2026-05-07 21:40,ICICIBANK.NS,1279.0,BUY,61
2026-05-07 21:40,WIPRO.NS,197.36,HOLD,59
2026-05-07 21:40,HDFCBANK.NS,796.05,BUY,71
2026-05-07 21:49,TCS.NS,2401.4,BUY,62
2026-06-26 14:51,INFY.NS,1041.2,BUY,62
2026-06-26 14:59,INFY.NS,1041.2,BUY,62
2026-06-26 16:22,TCS.NS,2094.7,BUY,62
2026-06-26 16:22,INFY.NS,1041.2,BUY,62
2026-06-26 16:26,RELIANCE.NS,1318.1,BUY,62
2026-06-26 16:31,INFY.NS,1041.2,BUY,62
